smooth/rough,disorganized/organized,chromaticity,dull/shiny,darkness/lightness,Image,fine/coarse grain,red/green
2.5,4.55,4.6,4.2,7.55,S_Chert_03.jpg,1.85,4.7
2.9,5.2,1.6,2.55,6.2,S_Chert_04.jpg,2.65,5.05
4.7,4.5,2.9,3.7,7.85,S_Chert_05.jpg,3.0,5.35
2.85,4.1,4.4,4.5,7.7,S_Chert_06.jpg,2.75,4.28
2.6,5.6,4.9,3.25,6.7,S_Chert_07.jpg,1.95,3.37
2.2,5.25,2.7,7.6,7.45,S_Chert_08.jpg,2.0,3.3
2.45,4.25,1.2,6.7,8.35,S_Chert_09.jpg,2.35,4.81
2.4,4.35,3.5,4.85,7.1,S_Chert_10.jpg,2.5,3.98
1.65,4.25,2.8,8.25,1.7,S_Chert_11.jpg,1.6,3.51
4.25,4.3,1.8,3.85,3.4,S_Chert_12.jpg,3.4,5.4
8.4,2.2,5.7,2.45,4.2,S_Conglomerate_01.jpg,7.95,1.49
6.45,3.25,1.8,2.65,6.8,S_Conglomerate_02.jpg,7.1,5.51
5.75,4.05,2.2,2.85,5.0,S_Conglomerate_03.jpg,7.85,4.81
7.9,2.1,4.1,2.95,3.1,S_Conglomerate_04.jpg,8.4,3.28
6.7,2.1,5.3,4.6,5.0,S_Conglomerate_05.jpg,7.95,3.91
7.45,2.65,4.0,1.9,4.5,S_Conglomerate_06.jpg,6.9,2.84
8.15,2.15,5.0,1.95,6.0,S_Conglomerate_07.jpg,8.45,6.07
8.15,2.2,4.1,3.15,6.05,S_Conglomerate_08.jpg,7.45,6.35
7.25,2.4,4.8,2.35,4.05,S_Conglomerate_09.jpg,8.0,2.86
5.6,3.5,4.1,2.9,5.65,S_Conglomerate_10.jpg,6.95,6.33
8.05,2.0,2.9,2.95,5.5,S_Conglomerate_11.jpg,8.4,4.23
5.95,4.75,2.0,2.2,4.05,S_Conglomerate_12.jpg,4.4,4.3
3.0,6.3,1.9,1.7,7.15,S_Dolomite_01.jpg,2.5,6.05
5.9,4.3,5.7,3.95,5.0,S_Dolomite_02.jpg,5.05,1.3
4.35,4.5,1.7,3.85,5.25,S_Dolomite_03.jpg,4.05,4.6
3.7,5.8,2.6,2.25,8.0,S_Dolomite_04.jpg,3.0,4.56
2.7,5.2,3.7,3.05,7.25,S_Dolomite_05.jpg,2.8,4.44
3.5,5.75,0.6,4.35,8.8,S_Dolomite_06.jpg,2.85,5.16
3.2,6.0,1.4,2.35,4.95,S_Dolomite_07.jpg,2.9,6.23
5.0,4.4,3.4,1.85,7.3,S_Dolomite_08.jpg,3.45,6.81
4.0,5.0,3.3,2.45,7.3,S_Dolomite_09.jpg,3.9,7.16
3.4,4.55,2.1,1.9,4.7,S_Dolomite_10.jpg,3.2,6.26
5.7,3.65,0.6,3.25,6.6,S_Dolomite_11.jpg,5.35,5.21
3.3,5.55,1.4,2.25,7.85,S_Dolomite_12.jpg,2.55,4.88
4.05,5.2,3.8,2.3,6.9,S_Micrite_01.jpg,3.2,4.51
6.4,5.05,1.5,2.35,7.65,S_Micrite_02.jpg,4.65,4.53
7.1,3.5,1.3,3.15,8.05,S_Micrite_03.jpg,4.45,4.91
3.1,4.9,2.8,4.2,2.1,S_Micrite_04.jpg,1.75,7.05
6.35,3.1,0.6,2.1,6.7,S_Micrite_05.jpg,4.85,5.33
4.15,4.8,1.6,2.35,7.1,S_Micrite_06.jpg,3.9,5.02
4.7,5.3,1.3,2.4,6.95,S_Micrite_07.jpg,4.2,5.44
4.8,4.3,1.5,4.25,7.0,S_Micrite_08.jpg,4.05,5.14
3.4,5.3,4.1,2.55,5.2,S_Micrite_09.jpg,2.45,5.81
2.4,5.9,1.6,1.95,6.0,S_Micrite_10.jpg,2.1,5.53
4.05,5.1,1.6,2.4,7.05,S_Micrite_11.jpg,2.85,4.79
5.0,4.7,1.5,4.0,7.15,S_Micrite_12.jpg,3.45,4.81
5.5,4.65,1.9,4.85,8.35,S_Rock Gypsum_01.jpg,4.55,4.58
2.85,5.1,0.4,5.65,8.55,S_Rock Gypsum_02.jpg,2.3,5.09
3.4,6.35,1.8,6.65,8.5,S_Rock Gypsum_03.jpg,3.0,5.56
7.55,2.1,0.8,4.4,7.65,S_Rock Gypsum_04.jpg,6.15,4.84
6.45,4.5,0.5,3.25,4.35,S_Rock Gypsum_05.jpg,4.75,5.09
2.55,5.5,0.3,5.4,8.1,S_Rock Gypsum_06.jpg,2.45,5.07
4.4,5.65,0.1,4.15,8.35,S_Rock Gypsum_07.jpg,3.4,4.98
4.4,4.1,0.6,6.15,6.55,S_Rock Gypsum_08.jpg,3.3,5.02
4.75,5.2,0.4,7.25,7.8,S_Rock Gypsum_09.jpg,3.15,5.12
4.8,4.5,1.6,6.35,8.25,S_Rock Gypsum_10.jpg,3.05,4.6
3.1,5.4,0.7,6.8,8.1,S_Rock Gypsum_11.jpg,2.6,5.0
3.9,3.55,2.4,7.05,6.25,S_Rock Gypsum_12.jpg,3.25,4.6
5.1,3.95,1.0,7.0,5.2,S_Rock Salt_01.jpg,4.6,4.91
7.65,3.65,0.3,6.35,3.85,S_Rock Salt_02.jpg,6.6,5.0
7.15,3.8,1.7,6.05,7.1,S_Rock Salt_03.jpg,6.4,4.77
