dull/shiny,disorganized/organized,fine/coarse grain,Image,red/green,smooth/rough,chromaticity,darkness/lightness
3.55,5.4,2.9,M_Slate_11.jpg,5.98,2.9,1.6,6.75
1.65,6.05,2.45,M_Slate_12.jpg,4.63,2.7,0.9,4.55
6.3,4.4,4.25,S_Bituminous Coal_01.jpg,5.07,5.8,1.0,2.15
8.65,4.9,2.1,S_Bituminous Coal_02.jpg,5.07,3.25,0.2,1.35
6.15,4.65,4.35,S_Bituminous Coal_03.jpg,5.02,6.6,0.3,1.3
7.25,4.3,3.4,S_Bituminous Coal_04.jpg,5.49,4.35,0.8,2.85
4.65,4.6,2.95,S_Bituminous Coal_05.jpg,5.02,4.9,1.2,1.55
6.2,4.7,2.55,S_Bituminous Coal_06.jpg,4.51,4.15,1.5,2.6
4.1,5.15,3.55,S_Bituminous Coal_07.jpg,5.44,4.6,1.3,1.65
5.7,4.7,2.8,S_Bituminous Coal_08.jpg,5.02,4.65,0.3,1.4
7.75,5.9,1.05,S_Bituminous Coal_09.jpg,5.0,1.15,0.2,1.1
6.8,4.7,2.2,S_Bituminous Coal_10.jpg,4.93,4.6,0.3,1.1
7.4,5.0,1.9,S_Bituminous Coal_11.jpg,4.91,2.65,0.6,1.3
4.8,3.75,4.55,S_Bituminous Coal_12.jpg,5.47,5.8,1.1,3.05
2.2,1.0,8.75,S_Breccia_01.jpg,6.63,8.7,3.5,5.0
3.6,1.85,8.55,S_Breccia_02.jpg,4.4,8.25,3.1,5.55
2.4,2.45,8.05,S_Breccia_03.jpg,6.7,8.0,1.7,6.2
3.65,3.2,6.5,S_Breccia_04.jpg,3.35,6.0,2.4,5.25
4.95,1.85,8.0,S_Breccia_05.jpg,4.37,7.9,2.3,5.5
4.2,3.55,7.8,S_Breccia_06.jpg,2.4,7.3,4.4,5.7
3.85,3.3,8.6,S_Breccia_07.jpg,1.51,5.4,5.5,5.7
3.8,2.15,8.45,S_Breccia_08.jpg,2.7,6.25,5.4,5.35
5.45,3.0,3.65,S_Breccia_09.jpg,4.95,2.75,0.4,2.0
3.15,3.4,7.65,S_Breccia_10.jpg,3.53,4.7,2.8,4.0
3.95,3.15,8.85,S_Breccia_11.jpg,1.23,5.15,5.7,5.75
2.65,2.25,8.1,S_Breccia_12.jpg,3.6,8.05,5.1,4.9
4.85,4.55,2.05,S_Chert_01.jpg,3.91,2.15,3.2,5.8
4.25,5.15,1.9,S_Chert_02.jpg,4.23,2.4,3.0,8.25
4.2,4.55,1.85,S_Chert_03.jpg,4.7,2.5,4.6,7.55
