disorganized/organized,red/green,fine/coarse grain,dull/shiny,chromaticity,Image,darkness/lightness,smooth/rough
5.1,5.09,2.3,5.65,0.4,S_Rock Gypsum_02.jpg,8.55,2.85
6.35,5.56,3.0,6.65,1.8,S_Rock Gypsum_03.jpg,8.5,3.4
2.1,4.84,6.15,4.4,0.8,S_Rock Gypsum_04.jpg,7.65,7.55
4.5,5.09,4.75,3.25,0.5,S_Rock Gypsum_05.jpg,4.35,6.45
5.5,5.07,2.45,5.4,0.3,S_Rock Gypsum_06.jpg,8.1,2.55
5.65,4.98,3.4,4.15,0.1,S_Rock Gypsum_07.jpg,8.35,4.4
4.1,5.02,3.3,6.15,0.6,S_Rock Gypsum_08.jpg,6.55,4.4
5.2,5.12,3.15,7.25,0.4,S_Rock Gypsum_09.jpg,7.8,4.75
4.5,4.6,3.05,6.35,1.6,S_Rock Gypsum_10.jpg,8.25,4.8
5.4,5.0,2.6,6.8,0.7,S_Rock Gypsum_11.jpg,8.1,3.1
3.55,4.6,3.25,7.05,2.4,S_Rock Gypsum_12.jpg,6.25,3.9
3.95,4.91,4.6,7.0,1.0,S_Rock Salt_01.jpg,5.2,5.1
3.65,5.0,6.6,6.35,0.3,S_Rock Salt_02.jpg,3.85,7.65
3.8,4.77,6.4,6.05,1.7,S_Rock Salt_03.jpg,7.1,7.15
