smooth/rough,Image,red/green,dull/shiny,chromaticity,fine/coarse grain,darkness/lightness,disorganized/organized
7.45,S_Conglomerate_06.jpg,2.84,1.9,4.0,6.9,4.5,2.65
8.15,S_Conglomerate_07.jpg,6.07,1.95,5.0,8.45,6.0,2.15
8.15,S_Conglomerate_08.jpg,6.35,3.15,4.1,7.45,6.05,2.2
7.25,S_Conglomerate_09.jpg,2.86,2.35,4.8,8.0,4.05,2.4
5.6,S_Conglomerate_10.jpg,6.33,2.9,4.1,6.95,5.65,3.5
8.05,S_Conglomerate_11.jpg,4.23,2.95,2.9,8.4,5.5,2.0
5.95,S_Conglomerate_12.jpg,4.3,2.2,2.0,4.4,4.05,4.75
3.0,S_Dolomite_01.jpg,6.05,1.7,1.9,2.5,7.15,6.3
5.9,S_Dolomite_02.jpg,1.3,3.95,5.7,5.05,5.0,4.3
4.35,S_Dolomite_03.jpg,4.6,3.85,1.7,4.05,5.25,4.5
3.7,S_Dolomite_04.jpg,4.56,2.25,2.6,3.0,8.0,5.8
2.7,S_Dolomite_05.jpg,4.44,3.05,3.7,2.8,7.25,5.2
3.5,S_Dolomite_06.jpg,5.16,4.35,0.6,2.85,8.8,5.75
3.2,S_Dolomite_07.jpg,6.23,2.35,1.4,2.9,4.95,6.0
5.0,S_Dolomite_08.jpg,6.81,1.85,3.4,3.45,7.3,4.4
4.0,S_Dolomite_09.jpg,7.16,2.45,3.3,3.9,7.3,5.0
3.4,S_Dolomite_10.jpg,6.26,1.9,2.1,3.2,4.7,4.55
5.7,S_Dolomite_11.jpg,5.21,3.25,0.6,5.35,6.6,3.65
3.3,S_Dolomite_12.jpg,4.88,2.25,1.4,2.55,7.85,5.55
4.05,S_Micrite_01.jpg,4.51,2.3,3.8,3.2,6.9,5.2
6.4,S_Micrite_02.jpg,4.53,2.35,1.5,4.65,7.65,5.05
7.1,S_Micrite_03.jpg,4.91,3.15,1.3,4.45,8.05,3.5
3.1,S_Micrite_04.jpg,7.05,4.2,2.8,1.75,2.1,4.9
6.35,S_Micrite_05.jpg,5.33,2.1,0.6,4.85,6.7,3.1
4.15,S_Micrite_06.jpg,5.02,2.35,1.6,3.9,7.1,4.8
4.7,S_Micrite_07.jpg,5.44,2.4,1.3,4.2,6.95,5.3
4.8,S_Micrite_08.jpg,5.14,4.25,1.5,4.05,7.0,4.3
3.4,S_Micrite_09.jpg,5.81,2.55,4.1,2.45,5.2,5.3
2.4,S_Micrite_10.jpg,5.53,1.95,1.6,2.1,6.0,5.9
4.05,S_Micrite_11.jpg,4.79,2.4,1.6,2.85,7.05,5.1
5.0,S_Micrite_12.jpg,4.81,4.0,1.5,3.45,7.15,4.7
5.5,S_Rock Gypsum_01.jpg,4.58,4.85,1.9,4.55,8.35,4.65
2.85,S_Rock Gypsum_02.jpg,5.09,5.65,0.4,2.3,8.55,5.1
3.4,S_Rock Gypsum_03.jpg,5.56,6.65,1.8,3.0,8.5,6.35
7.55,S_Rock Gypsum_04.jpg,4.84,4.4,0.8,6.15,7.65,2.1
6.45,S_Rock Gypsum_05.jpg,5.09,3.25,0.5,4.75,4.35,4.5
2.55,S_Rock Gypsum_06.jpg,5.07,5.4,0.3,2.45,8.1,5.5
4.4,S_Rock Gypsum_07.jpg,4.98,4.15,0.1,3.4,8.35,5.65
4.4,S_Rock Gypsum_08.jpg,5.02,6.15,0.6,3.3,6.55,4.1
4.75,S_Rock Gypsum_09.jpg,5.12,7.25,0.4,3.15,7.8,5.2
4.8,S_Rock Gypsum_10.jpg,4.6,6.35,1.6,3.05,8.25,4.5
3.1,S_Rock Gypsum_11.jpg,5.0,6.8,0.7,2.6,8.1,5.4
3.9,S_Rock Gypsum_12.jpg,4.6,7.05,2.4,3.25,6.25,3.55
5.1,S_Rock Salt_01.jpg,4.91,7.0,1.0,4.6,5.2,3.95
7.65,S_Rock Salt_02.jpg,5.0,6.35,0.3,6.6,3.85,3.65
7.15,S_Rock Salt_03.jpg,4.77,6.05,1.7,6.4,7.1,3.8
