red/green,disorganized/organized,dull/shiny,chromaticity,darkness/lightness,Image,fine/coarse grain,smooth/rough
7.19,5.9,2.65,2.5,4.25,M_Phyllite_07.jpg,3.4,3.8
6.77,6.2,6.55,1.7,2.9,M_Phyllite_08.jpg,2.9,2.85
7.93,5.35,5.0,2.3,5.65,M_Phyllite_09.jpg,3.45,3.95
5.33,5.35,2.4,1.5,4.55,M_Phyllite_10.jpg,3.4,3.7
4.91,4.85,3.9,1.8,4.75,M_Phyllite_11.jpg,5.25,6.15
5.51,5.4,6.4,1.7,6.45,M_Phyllite_12.jpg,3.75,4.75
5.02,5.35,2.85,1.2,6.05,M_Quartzite_01.jpg,4.35,3.9
3.77,7.55,2.5,2.5,5.4,M_Quartzite_02.jpg,3.2,3.1
8.49,5.45,2.85,3.3,5.55,M_Quartzite_03.jpg,5.1,5.15
5.91,4.6,3.7,1.4,6.45,M_Quartzite_04.jpg,4.85,4.95
5.09,5.7,4.3,1.0,7.55,M_Quartzite_05.jpg,4.05,3.8
3.74,5.9,4.35,2.9,6.4,M_Quartzite_06.jpg,4.75,4.7
6.07,6.05,3.45,2.4,6.15,M_Quartzite_07.jpg,2.6,2.9
5.23,5.75,3.45,1.4,7.15,M_Quartzite_08.jpg,4.2,4.35
4.95,4.65,4.4,1.0,7.05,M_Quartzite_09.jpg,5.05,4.05
2.91,3.9,4.75,3.9,6.4,M_Quartzite_10.jpg,5.1,5.8
1.58,5.9,2.15,5.5,5.65,M_Quartzite_11.jpg,4.4,3.9
4.0,6.05,1.95,3.7,6.5,M_Quartzite_12.jpg,3.45,3.9
4.81,4.7,2.95,1.6,5.8,M_Schist_01.jpg,4.2,5.1
5.53,3.7,5.35,0.9,6.55,M_Schist_02.jpg,5.65,6.8
6.77,3.8,4.55,2.7,3.15,M_Schist_03.jpg,5.5,6.55
3.58,3.9,4.85,4.1,4.55,M_Schist_04.jpg,5.55,5.55
5.63,4.74,6.8,1.3,3.9,M_Schist_05.jpg,3.95,5.1
